corpus tokens: 566922
{'depth': 4096, 'rep': 'prefill', 'ttfb_s': 5.776, 'gen_tokens': 2, 'decode_tps': 13189.6, 'wall_s': 5.78, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 4096, 'rep': 0, 'ttfb_s': 0.991, 'gen_tokens': 96, 'decode_tps': 22.8, 'wall_s': 5.16, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 4096, 'rep': 1, 'ttfb_s': 0.992, 'gen_tokens': 192, 'decode_tps': 21.7, 'wall_s': 9.78, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 16384, 'rep': 'prefill', 'ttfb_s': 18.885, 'gen_tokens': 2, 'decode_tps': 14027.8, 'wall_s': 18.89, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 16384, 'rep': 0, 'ttfb_s': 1.263, 'gen_tokens': 96, 'decode_tps': 21.7, 'wall_s': 5.64, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 16384, 'rep': 1, 'ttfb_s': 1.259, 'gen_tokens': 192, 'decode_tps': 20.6, 'wall_s': 10.52, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 32768, 'rep': 'prefill', 'ttfb_s': 33.564, 'gen_tokens': 2, 'decode_tps': 14513.2, 'wall_s': 33.56, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 32768, 'rep': 0, 'ttfb_s': 1.585, 'gen_tokens': 95, 'decode_tps': 20.4, 'wall_s': 6.2, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 32768, 'rep': 1, 'ttfb_s': 1.58, 'gen_tokens': 192, 'decode_tps': 19.6, 'wall_s': 11.34, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 49152, 'rep': 'prefill', 'ttfb_s': 47.119, 'gen_tokens': 2, 'decode_tps': 14513.2, 'wall_s': 47.12, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 49152, 'rep': 0, 'ttfb_s': 1.901, 'gen_tokens': 96, 'decode_tps': 19.6, 'wall_s': 6.74, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
{'depth': 49152, 'rep': 1, 'ttfb_s': 1.894, 'gen_tokens': 190, 'decode_tps': 18.4, 'wall_s': 12.16, 'config': 'exl3-5bpw-layersplit-nodraft', 'mode': 'sweep'}
